                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3623,                0.71028,                 1.0761,                0.84019,                 0.7478,                0.80164,                0.54021,                  1.326,                0.73286,                 1.0901,             0.00083665,             0.00083665,             0.00083665
                     36,                 1.3608,                0.70614,                 1.0757,                 0.8255,                0.76347,                0.80917,                0.55478,                 1.3063,                0.71992,                 1.0872,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.3585,                0.70436,                  1.066,                0.80799,                0.76647,                0.80807,                  0.542,                 1.3167,                0.73452,                  1.084,             0.00082675,             0.00082675,             0.00082675
                     38,                 1.3435,                0.70713,                  1.073,                0.78763,                0.75524,                0.79727,                0.54679,                 1.3075,                0.71507,                 1.0822,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.3413,                0.72099,                 1.0739,                0.77891,                0.77528,                0.81219,                0.54609,                 1.2981,                0.72822,                 1.0863,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.3439,                0.69547,                 1.0694,                0.82232,                 0.7459,                0.80285,                0.55534,                 1.2961,                0.72938,                 1.0857,              0.0008119,              0.0008119,              0.0008119
                     41,                 1.3324,                0.69545,                 1.0676,                0.87087,                0.72732,                0.81012,                0.55211,                  1.296,                  0.717,                 1.0834,             0.00080695,             0.00080695,             0.00080695
                     42,                 1.3442,                0.70384,                 1.0645,                0.87265,                0.73852,                 0.8083,                 0.5504,                 1.3116,                 0.7183,                 1.0898,               0.000802,               0.000802,               0.000802
                     43,                 1.3481,                0.69351,                 1.0617,                0.84043,                 0.7486,                0.80707,                 0.5464,                 1.3133,                 0.7135,                  1.084,             0.00079705,             0.00079705,             0.00079705
                     44,                 1.3126,                0.67951,                 1.0625,                0.85462,                0.73714,                0.80791,                0.54944,                 1.3135,                0.70856,                  1.082,              0.0007921,              0.0007921,              0.0007921
                     45,                 1.3149,                0.69353,                  1.068,                0.85077,                0.75621,                0.81348,                 0.5534,                 1.2955,                0.70768,                 1.0825,             0.00078715,             0.00078715,             0.00078715
                     46,                 1.3435,                0.71211,                 1.0719,                0.79969,                0.76595,                0.81009,                0.55244,                 1.3014,                0.70781,                 1.0839,              0.0007822,              0.0007822,              0.0007822
                     47,                 1.3131,                0.68028,                 1.0537,                 0.8681,                  0.742,                0.80572,                0.55352,                 1.2963,                0.70078,                 1.0802,             0.00077725,             0.00077725,             0.00077725
                     48,                 1.3019,                0.69035,                 1.0597,                0.84383,                0.76275,                0.80943,                0.55481,                 1.3057,                0.70549,                 1.0888,              0.0007723,              0.0007723,              0.0007723
                     49,                 1.3135,                 0.6802,                 1.0545,                0.82032,                0.79132,                0.81183,                0.55204,                  1.288,                0.69362,                 1.0739,             0.00076735,             0.00076735,             0.00076735
                     50,                 1.3079,                0.69741,                 1.0526,                0.85788,                0.75143,                0.81146,                0.55736,                 1.2955,                0.70376,                 1.0833,              0.0007624,              0.0007624,              0.0007624
                     51,                 1.2886,                0.67437,                 1.0591,                0.86224,                0.75552,                0.81916,                0.55677,                 1.2884,                0.70308,                 1.0753,             0.00075745,             0.00075745,             0.00075745
                     52,                 1.2866,                0.66266,                 1.0482,                0.81726,                0.76723,                0.80935,                0.55182,                 1.2838,                 0.7001,                 1.0817,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.2825,                0.66848,                 1.0441,                0.85741,                0.75767,                0.81504,                0.55864,                 1.2863,                0.70215,                 1.0769,             0.00074755,             0.00074755,             0.00074755
                     54,                 1.2927,                0.68084,                 1.0533,                0.87212,                0.74856,                0.81364,                0.54882,                 1.3144,                0.71249,                 1.0879,              0.0007426,              0.0007426,              0.0007426
                     55,                 1.2903,                0.67174,                 1.0504,                0.88308,                0.74491,                0.81287,                0.55874,                 1.2895,                0.69419,                 1.0808,             0.00073765,             0.00073765,             0.00073765
